name,adsorption
qmof-0009829,8.3673604145
qmof-000dce3,11.7424904719
qmof-004080b,8.7151555051
qmof-004947a,0.8069582564
qmof-006f9b7,2.1424450934
qmof-0070c13,6.9250092864
qmof-008aa12,13.3758249522
qmof-0091bbc,0.0443209352
qmof-00980e4,8.3571067822
qmof-00a03b2,2.4639381388
qmof-00a1a50,3.1063991371
qmof-00aefa9,1.1323093444
qmof-00b7416,12.234070547
qmof-00c8700,8.6494435664
qmof-00ce800,1.8812187125
qmof-00d09fe,4.3556763643
qmof-00daa63,0.0
qmof-00e335d,3.1225077136
qmof-00eae24,3.3084305687
qmof-00f0897,3.2114041604
qmof-00f7b5b,16.0736093049
qmof-00ff964,1.4420919336
qmof-01027d7,4.0007836301
qmof-010c828,3.0621811319
qmof-0111861,1.0879080716
qmof-0116630,3.5300486462
qmof-011c163,0.1160017656
qmof-0138985,1.0981072405
qmof-0138e8e,2.5735284616
qmof-013919a,13.0347183483
qmof-013e062,2.6797016236
qmof-0142f6b,6.5977675431
qmof-0147aef,1.5812244548
qmof-0162289,11.7301362634
qmof-0166122,2.1439107257
qmof-017128d,4.4417858299
qmof-0180057,0.7331774147
qmof-0182c67,13.173916099
qmof-0192eb2,2.894293221
qmof-01931e7,4.2075129722
qmof-019cf08,2.4851340579
qmof-01a5958,4.707638017
qmof-01ae350,0.1988675351
qmof-01be70a,0.8880721245
qmof-01d76cf,3.9861972104
qmof-01e3d00,5.6182613166
qmof-01ea939,19.1367242614
qmof-020271e,10.5733839633
qmof-0204d66,0.5494095808
qmof-0205f07,4.5432427578
qmof-020e5f6,5.9205617231
qmof-020f390,0.0009422351
qmof-0219702,0.6420203796
qmof-0221d3d,1.8818394033
qmof-023607b,1.8100312092
qmof-023bc51,0.8994905709
qmof-02592f2,0.6487635083
qmof-026f191,1.5930579469
qmof-02883dc,4.2039515423
qmof-029d2b0,6.9043621721
qmof-02c0106,0.0001356414
qmof-02c07e3,1.9922019622
qmof-02c7dcc,1.7142920059
qmof-02d0b18,4.3405229562
qmof-02d2885,0.0
qmof-02d74bc,4.2882258345
qmof-02dd69f,12.730892191
qmof-02e0fb2,0.200887475
qmof-02e17f1,6.4540025916
qmof-02e961c,0.7350733859
qmof-02ef78f,15.8713695535
qmof-02f3753,5.6937368787
qmof-02f386f,2.8922773339
qmof-02f9568,12.8787713836
qmof-031e1d8,6.3399594199
qmof-0337f66,1.3320609045
qmof-033e292,4.7064302716
qmof-033f4ac,3.0888347992
qmof-0340fcc,1.15492e-05
qmof-0359d3a,10.3499765916
qmof-035e8fd,7.831154022
qmof-0360d63,4.9799850281
qmof-036187d,4.1282090852
qmof-037d5ed,13.8345075241
qmof-038aa2d,0.9027483466
qmof-03a39a4,0.0032313522
qmof-03acc57,0.4948745856
qmof-03b6f67,3.126468655
qmof-03c6ba9,2.3892984058
qmof-03d0e0b,1.2254435819
qmof-03d81cc,11.8841725791
qmof-03dce70,0.685432929
qmof-03ddeb4,3.336355085
qmof-03e3842,11.4762170246
qmof-03f205a,2.7531110023
qmof-03f51c0,0.0896590997
qmof-04009cb,2.058364385
qmof-0475987,7.4733336081
qmof-04907e4,6.225334895
qmof-0496546,11.6160381701
qmof-049a1ce,1.3379497039
qmof-04a1fed,18.7862383631
qmof-04a422b,0.8143844703
qmof-04b3122,4.2608172643
qmof-04b37b6,8.4269080928
qmof-04b4379,2.1382873688
qmof-04bf78f,8.7444302526
qmof-04c1119,4.8530877466
qmof-04dd137,7.0050494173
qmof-04e23fc,8.248376667
qmof-04f1cc1,2.966958867
qmof-04f3a5d,10.3354253106
qmof-04fb851,1.3194176997
qmof-0512788,0.100146405
qmof-051e081,2.4445182751
qmof-0523aea,9.6791e-05
qmof-0528115,4.8897325472
qmof-0564294,3.7567279787
qmof-0565e78,9.175815138
qmof-056750f,0.0
qmof-056d026,5.2463081295
qmof-0573de6,4.2686351261
qmof-058b1bf,6.6443414625
qmof-059275c,5.0024256577
qmof-0592de4,8.1507078452
qmof-05b0858,0.2708698896
qmof-05c65f8,12.537820761
qmof-05c81b9,7.0136521944
qmof-05cbfaf,1.3197140991
qmof-05cc789,0.7650988909
qmof-05d5e8e,0.0
qmof-05d6902,0.4176607351
qmof-05dc5b6,1.3141330273
